"item_code","deskripsi","qty_on_hand","min_stock","selisih","lokasi_rak"
"O-53641-00","Mixing Tank Adam - Lampu Tanam Lantai LED DC 12-24V 3W Uplight COB Waterproof IP65; General; -; 1 Pc","0","1","1","-"
"O-54012-00","SELECTOR SWITCH, HANYOUNG, CR253-3 ON-OFF-ON","0","1","1","-"
"O-54031-00","Profibus Connector SIEMENS, Simatic DP 6ES7972-0BA52-0XA0; ; ;","0","1","1","-"
"P-10729-00","General - Contact cleaner WD 40; No Brand; -; 382gr/can","1","2","1","Flammable"
"P-10897-00","Fitting PVC - Sock PVC 1""","1","2","1","-"
"P-12695-00","PC 4200/IMA C90 - Draw in-roller Cpl; GUK; 21401-0007; 1 pcs","0","1","1","-"
"P-12764-00","General - Silicone Gasket for Ferrule dia. 1/2inch; Custom; -; 1 pcs","9","10","1","M3"
"P-13429-00","General - Cable Ducting 25mm x 40mm; Lokal; -; 1 pcs","0","1","1","-"
"P-13445-00","Plat Stainless Steel 304; ; ;","0","1","1","-"
"P-14244-00","General - UV Lamp SD55-320W; Hanovia; 130071-0320-C; 1 pc","0","1","1","-"
"P-14899-00","Electrode Set Ozone Generator; Ozonia MKIV; ;","0","1","1","-"
"P-15437-00","CABLE SPIRAL WRAPPING, TYPE KS24, BRAND KSS; ; ;","1","2","1","K4"
"P-15905-00","Filter Catridge Type: TefTEC Series P/N : TefTEC 0.2 - 10 P7S Lenght : 10 Inch O-Ring : 226 Fin","0","1","1","-"
"P-18468-00","Pass Box Stickers ZC-A; ; ;","4","5","1","F-3-4C"
"P-18546-00","Constan Air Volume EN 200x100 with Flow Scale 0-600 CMH; TROX; ;","0","1","1","-"
"P-50957-00","Fuse kaca 3 A 5x 20","0","1","1","-"
"P-51027-00","General - IsoLasi Kabel Hitam 33 (19mm x 20mm x 0.177mm); Scotch; -; 1 Pcs","1","2","1","N3"
"P-51928-00","Battery Lithium 3V CR2477N; ; ;","1","2","1","G-3"
"P-52001-00","Switch Lamp Merah 220 VAC; ; ;","0","1","1","-"
"P-52711-00","General - Accu NS70, Baterai Kering, 12 V, 65 Ah; GS Astra; -; 1 pcs","0","1","1","-"
"P-53171-00","Ballast Electronic EB-C 218 TL5, 2x18W; Phillips; ;","0","1","1","-"
"P-53173-00","Ballast Electronic EB-C 214 TL5, 2x14W; Phillips; ;","0","1","1","-"
"P-53215-00","Silicon Lembaran, tebal 5 mm, size: 1 meter X 1 meter; ; ;","0","1","1","-"
"P-53216-00","Silicon Lembaran, tebal 3 mm, size: 1 meter X 1 meter; ; ;","0","1","1","-"
"Q-10136-00","TOTO - Kran T23BQ13N","0","1","1","-"
"Q-10302-00","Compound / Kompon Gypsum;No Brand;;pack size 20 kg per pck","0","1","1","-"
"Q-10517-00","Kape Besi / Scraper / Skrap Besi;No Brand;;pack size per pcs","0","1","1","-"
"Q-10650-00","Aquaproof Abu-Abu @4 Kg; ; ;","0","1","1","-"
"Q-10805-00","Multipox MX-98-2K SB White;Propan;Type White;pack size per 20 kg pail","0","1","1","-"
"Q-10829-00","Cat Ambiance Lakestone 44537M Tinting; Dulux; ;","0","1","1","-"
"Q-60105-00","Cat Dulux Ambiance Brilliant White; Dulux; 2290; pack size per 20L","0","1","1","-"
"Q-60404-00","Cat Interior Catylac; Dulux; Type Putih 1501N; 25 kg/pail","0","1","1","-"
"S-11816-00","Cable Ties Nylon reusable (Colour Black) Lenght 20cm","0","1","1","-"
"T-20118-00","FILTER INSERT ASSY; Waters; P/N WAT088084; 1 pc","0","1","1","-"
"T-20136-00","2690 SEAL PACK REBUILD PKG; Waters; c/n WAT271019;","0","1","1","-"
"T-20177-00","2690/95 PERFORMANCE MAINTENANCE KIT., Waters, Part No. WAT270944","0","1","1","-"
"T-20212-00","SEAL PLUNGER 2690, Waters, Part No. WAT270938, PKG (2)","0","1","1","-"
"T-20215-00","ASSY PCB DEGASSER QSPI MULTI-PERS, Waters, Part No. 700002511","0","1","1","-"
"T-20591-00","Kit, Performance PLUS seal pack rebuild; Waters; 700011783; 1 pieces / pack","0","1","1","-"
"T-20791-00","Heater/Cooler Engine 2690; Waters; 700001066;","0","1","1","-"
"T-20851-00","One-piece Fitting, 10 - 32; Waters; 700004841; 10 pcs per pack; Waters; 700004841; 10 pcs/pack","0","1","1","-"
"O-14617-00","Solenoid valve 2/2 ways NC 4,5mm; ; c/n 28582;","2","2","0","B-2-4C"
"O-14620-00","Microswitch for pneumatic cylinder; ; c/n 7821;","1","1","0","-"
"O-15822-00","General - MCB C60H 1 phase 1 pole 10 A; Schneider; -; 1 Pc","1","1","0","S-3-1"
"O-16725-00","3 Way Ball Valve SS304 3/4 inch c/w Pneumatic Actuator + Selenoid 24 VDC, NOCHRIDA SEJAHTERA, PT P/N : -  set","1","1","0","H-3-14"
"O-18108-00","Freeze Dryer MBE1207 - Therm.Exp.Valve TE2 R404A/R507A 068Z3403; DANFOSS; ;","2","2","0","D-2-10B"
"O-18890-00","Freeze Dryer MBE1207 - SV102 Valve body 032L1212(Replace the old model 032F1212) EVR6 3/8 Inch p/n:; DANFOSS; ;","1","1","0","D-4-9"
"O-18916-00","Freeze Dryer MBE1207 - Valve Body S20 DN25 ANSI150 Flg BODY CI DISC:316SS STEM 316SS P/n: EB14-00063; BRAY; ;","1","1","0","D-3-9"
"O-19211-00","Freeze Dryer MBE1207 - Thermal Expansi Valve TE 2 3/8 Inch (In)1/2 Inch (Out) 068Z3411; Danfoss; ;","2","2","0","D-2-10A"
"O-19213-00","Freeze Dryer MBE1207 -  Orifice 04 for Expansi Valve TE5 067B2792; Danfoss; ;","2","2","0","D-2-9B"
"O-19214-00","Freeze Dryer MBE1207 - Expansi Valve TE 5 067B3343 R404A/R507; Danfoss; ;","2","2","0","D-2-11"
"O-19382-00","HEPA filter minipleat, size: 457x610x69 Class (EN 1822) : H14 - 99,995% MPPS; Hencolin; ;","2","2","0","Ruang filter"
"O-19383-00","HEPA filter minipleat, size: 762x457x69 Class (EN 1822) : H14 - 99,995% MPPS; Hencolin; ;","1","1","0","-"
"O-19848-00","Pneumatic ball valve_1 inch weldedWORCESTEREDF50-00196","1","1","0","D-1-8"
"O-50697-00","Autoclave Fedegari FOF / 6 AC - P/N. KK000304-KIT RICAMBI VALV.DN16 ON-OFF","5","5","0","H-3-13"
"O-51677-00","Fork Sensor brand SICK type WFL80-60B416 Part No: 6036833 (Steriline No : 22179 ) SICK","1","1","0","A-3-3B"
"O-51678-00","Proximity Sensors M8, connector M12 PNP-NO, working distance 3mm 32,50 code IS-08-G1-S2, Part No : 9; ; ;","1","1","0","D1"
"O-51767-00","WAGO 750-530 8-CHANNEL DIGITAL OUTPUT MODULE STD PACK; ; ;","1","1","0","B-3-6B"
"O-51768-00","WAGO 750-513 2-CHANNEL RELAY OUTPUT MODULE STD PACK; ; ;","1","1","0","B-3-5"
"O-51769-00","WAGO 750-430 8-CHANNEL DIGITAL INPUT MODULE STD PACK; ; ;","1","1","0","A-3-2C"
"O-51772-00","WAGO 750-402 4-CHANNEL DIGITAL INPUT MODULE STD PACK","1","1","0","A-2-1A"
"O-51773-00","WAGO 750-550 2-CHANNEL ANALOG OUTPUT MODULE STD PACK; ; ;","1","1","0","A-3-2A"
"O-51774-00","WAGO 750-472 2-CHANNEL ANALOG INPUT MODULE STD PACK","1","1","0","B-3-6A"
