"item_code","deskripsi","qty_on_hand","min_stock","max_stock","is_critical","lokasi_rak"
"P-10908-00","General - Tee, PVC AW, 3/4""; Rucika; -; 1 pcs","0","2","4","Tidak","-"
"P-10904-00","General - Tee, PVC, 1 1/4""; Rucika; -; 1 pcs","4","2","4","Tidak","-"
"P-10905-00","General - Tee, PVC, 1/2""; Rucika; -; 1 pcs","4","2","4","Tidak","-"
"P-15774-00","General - Tee, SS 304, Sch 10, Butt Welded, 1 x 1inch; No Brand; -; 1 pcs","0","0","0","Tidak","-"
"P-19899-00","General - Teflon Sheet 6 x 1000 x 1000mm; No Brand; -; 1 pc","1","0","0","Tidak","A-2-10B"
"P-54468-00","General - Temperature Sensor Duct PT TMP 100K Ohm 4 inch; Siemens; 536-811; 1pc","3","0","0","Tidak","R-3-9"
"P-54519-00","General - Terminal Block TBR20; Fort; -; 50pcs/pack","2","0","0","Tidak","-"
"O-54138-00","General - Terminal Block, 10 mm; Fort; -; 1 pcs","13","2","5","Tidak","A-4-11A"
"P-53263-00","General - Terminal Block, 4 mm; No Brand; -; 1 pcs","0","0","0","Tidak","-"
"P-51706-00","General - Terminal Block, 4 Pin; No Brand; -; 1 pcs","4","2","4","Tidak","R-2-4"
"O-54137-00","General - Terminal Block, 6 mm; Fort; -; 1 pcs","62","2","10","Tidak","O2"
"P-51298-00","General - Terminal Plastik, dia. 4 mm; No Brand; -; 1 pcs","3","2","5","Tidak","-"
"P-51299-00","General - Terminal Plastik, dia. 6 mm; No Brand; -; 1 pcs","9","3","10","Tidak","A-4-3B"
"P-20369-00","General - Terminal Viking Grounding 4mm; Legrand; -; 1 pc","50","0","0","Tidak","R-2-12"
"P-20695-00","General - Thermaflex Insulasi Piping Uk. 1 Inch x 3/4 Inch (34mm x 20mm); No Brand; -; 1 pc","0","0","0","Tidak","-"
"P-20697-00","General - Thermaflex Insulasi Piping Uk. 2 1/2 Inch x 3/4 Inch (76mm x 20mm); No Brand; -; 1 pc","0","0","0","Tidak","-"
"P-20696-00","General - Thermaflex Insulasi Piping Uk. 2 Inch x 3/4 Inch (60mm x 20mm); No Brand; -; 1 pc","0","0","0","Tidak","-"
"P-20700-00","General - Thermaflex Sheet Insulasi Flange JIS10K 2 1/2 Inch (175mm); No Brand; -; 1 pc","0","0","0","Tidak","-"
"P-54557-00","General - Thermal Camera FU4 256x192 25Hz For Android; Fluke; FLK-TC01A 25; 1 pc","0","0","0","Tidak","-"
"P-54402-00","General - Thermocouple TW-N (PT100), Dia.: 6.4*30L*2M*PT1/8; Autonics; A04209; 1 pc","2","0","0","Tidak","F-1"
"P-18472-00","General - Thermostatic Steam Trap LV6-CE DN20 SS; TLV; -; 1 Pc","2","0","0","Tidak","L4"
"P-54349-00","General - Threaded 3 Port Valve; Siemens; VXG44.32-16; 1 pc","2","0","0","Tidak","R-3-4"
"O-53171-00","General - Three Phase Monitoring Cm-Pfs.S. ABB 1SVR730824R9300","0","0","0","Tidak","-"
"P-19908-00","General - Tig Welding torch Up Collect Body Nozzle Kit WP17 dan WP26; No Brand; -; 15 pcs/set","0","0","0","Tidak","-"
"P-50633-00","General - Timer AC100-240/DC100-125; Omron ; H3CR - A8; 1 pc","4","1","3","Tidak","B-4"
"O-53011-00","General - Timer Digital LE8B-BF; Autonics; A01761; 1 Pc","2","1","3","Tidak","F-3-4D"
"P-54558-00","General - Trafo Step Up Down 5A Nol B; Kurae; -; 1 pc","0","0","0","Tidak","-"
"O-53333-00","General - Transfer Pump 9450 Spare; Markem Imaje; ENM54436; 1 Pc","0","0","0","Tidak","-"
"O-21275-00","General - Tray Kabel Isolator Ukuran 35x35x700; Custom/Lokal; -; 1 Pc","1","0","0","Tidak","-"
"P-19987-00","General - Trolley Helium Leak Detector Uk. 600 x 750 x 800cm; Custom Agru Farma; -; 1 pc","0","0","0","Tidak","-"
"O-12735-00","General - TU Polyurethane Tubing, TU0604C-100; SMC Pneumatics; -; 1 roll","0","0","0","Tidak","-"
"O-12734-00","General - TU Polyurethane Tubing, TU0805C-100; SMC Pneumatics; -; 1 roll","0","0","0","Tidak","-"
"O-12733-00","General - TU Polyurethane Tubing, TU1065C-100; SMC Pneumatics; -; 1 roll","0","0","0","Tidak","-"
"P-18963-00","General - Tubing Nylon Putih 6 x 8mm; No Brand; -; 1 Pc","30","10","30","Tidak","-"
"P-19600-00","General - Tubing TLM0604N-100; SMC; -; 1 meter","0","0","0","Tidak","-"
"P-20852-00","General - Tungsten Electrode WT20-2.4mm x 150mm; No Brand; -; 10 pcs/pack","1","0","0","Tidak","S-2"
"P-12920-00","General - Tungsten Electrodes dia 1.6 mm; No Brand; -; 1 pc","14","3","10","Tidak","N-3"
"P-19826-00","General - Tutup Lubang Transfer Isolator OSD 110 x 45mm; Agru Farma; Custom; 1 pc","0","0","0","Tidak","-"
"P-20117-00","General - Universal Bearing Puller/Tracker Bearing Seperator; No Brand; -; 21pcs/set","0","0","0","Tidak","-"
"P-14244-00","General - UV Lamp SD55-320W; Hanovia; 130071-0320-C; 1 pc","0","1","3","Tidak","-"
"P-54354-00","General - UX52 Variable Speed Controller 90W; Houle; -; 1 pc","1","0","0","Tidak","G-3"
"P-20272-00","General - V Belt SPA 1132; Mitsuboshi; -; 1 pc","10","0","0","Tidak","-"
"P-19958-00","General - Vacuum Ferrule KF16; No Brand; -; 1 pc","0","0","0","Tidak","-"
"P-19957-00","General - Vacuum Ferrule KF25; No Brand; -; 1 pc","0","0","0","Tidak","-"
"P-19827-00","General - Valve Aktuator Stroke 40mm; Siemens; SKC62 2800N; 1 pc","0","0","0","Tidak","-"
"P-53294-00","General - Vertical Float Level Switch VSP-3FJ-S2-L1000-FPP45-CU1; Wingel; -; 1 unit","0","0","0","Tidak","-"
"P-52992-00","General - Vertical Float Level Switch, 1A, 220VAC/DC or 24VDC; Wingel; VSS-2FJ-S2-L1100-FS45-0;","0","0","0","Tidak","-"
"P-54218-00","General - Vertical Float Level Switch; Wingel; VSS-2FJ-S4-L720-FS45-HT; 1 Pc","1","0","0","Tidak","-"
"P-54446-00","General - Vertikal Float Level Switch; Wingel; VSP-2F-J0S4-L1000-FPP45-CU4; 1 pc","1","0","0","Tidak","R-3-14"
"P-18666-00","General - Vlok Ring, Kuningan/Brass, 1 x 1/2inch; No Brand; -; 1 pc","3","1","3","Tidak","R-2-13"
"P-53383-00","General - Wafer Check Valve DN50 JIS10K 2inch, Body Cast Iron, Disc SS304; Tozen; ;","2","0","0","Tidak","Kardus L3"
"P-19029-00","General - Washable G4 Avg arrestance : 94%. Rec. Final resistance: 250 Pa. Size: 12"" x 24"" x 2""; IAF; ; pcs","10","3","10","Tidak","-"
"P-19028-00","General - Washable G4 Avg arrestance : 94%. Rec. Final resistance: 250 Pa. Size: 24"" x 24"" x 2""; IAF; ; pcs","10","5","20","Tidak","Ruang Filter"
"P-15938-00","General - Water Hardness Test Kit; No Brand; -; 1 Pc","0","0","0","Tidak","-"
"P-54269-00","General - Water Heater Immersion 9 Element Dia 11,2 x 1800 mm, 60 KW 380V, SUS316; Custom; -; 1 pc","0","0","0","Tidak","-"
"P-52991-00","General - Water Heater Immersion 9 Element Dia 11,2 x 2000 mm, DIM A, 60 KW-220/380 V; Lokal; Type : MS-3DA48150;","0","0","0","Tidak","-"
"P-17680-00","General - Water Mur PVC dia. 2 1/2inch; No Brand; -; 1 pcs","4","0","0","Tidak","-"
"P-20651-00","General - Wire Brush Mata Bor; JLD; 263; 3pcs/set","0","0","0","Tidak","-"
"P-20150-00","General - Y Strainer Kuningan/Brass 1/2inch, Connection Screw, Class 150; Kitz; -; 1 pc","1","0","0","Tidak","R-3"
"P-19405-00","General- Mechanical Sear CR 32 HQQE; Grundfoss; P/N : 96525458; 1 Pc","1","0","0","Tidak","L-3"
"P-50263-00","Gland Cable","0","0","0","Tidak","-"
